seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	10090	10592	503	*	X0001	100287102	11874	14409	2536	+	1281	upstream	1281	DDX11L1
chr1	1370752	1370956	205	*	X0002	64856	1370903	1378262	7360	+	0	overlapStart	0	VWA1
chr1	6662477	6662922	446	*	X0005	9903	6650779	6662929	12151	-	0	inside	6	KLHL21
chr1	6673982	6674025	44	*	X0006	148479	6673756	6684093	10338	+	0	inside	225	PHF13
chr1	6674044	6674056	13	*	X0007	148479	6673756	6684093	10338	+	0	inside	287	PHF13
chr1	8939148	8939164	17	*	X0010	100505975	8938894	8939943	1050	+	0	inside	253	ENO1-AS1
chr1	8939148	8939164	17	*	X0010	2023	8921059	8939151	18093	-	0	overlapStart	0	ENO1
chr1	9884604	9884701	98	*	X0013	22883	9789079	9884550	95472	-	53	upstream	53	CLSTN1
chr1	10532482	10532499	18	*	X0014	1676	10520603	10532613	12011	-	0	inside	113	DFFA
chr1	10532513	10532523	11	*	X0015	1676	10520603	10532613	12011	-	0	inside	89	DFFA
chr1	15479805	15479855	51	*	X0017	200197	15438311	15478960	40650	-	844	upstream	844	TMEM51-AS1
chr1	15573532	15573542	11	*	X0018	114827	15573768	15726778	153011	+	225	upstream	225	FHAD1
chr1	15573603	15573635	33	*	X0019	114827	15573768	15726778	153011	+	132	upstream	132	FHAD1
chr1	16939957	16940386	430	*	X0022	55672	16888922	16940100	51179	-	0	overlapStart	0	NBPF1
chr1	22109512	22109666	155	*	X0037	84196	22004792	22109688	104897	-	0	inside	21	USP48
chr1	22109688	22109726	39	*	X0038	84196	22004792	22109688	104897	-	0	overlapStart	0	USP48
chr1	24070017	24070103	87	*	X0043	6924	24069856	24088549	18694	+	0	inside	160	ELOA
chr1	24285557	24285599	43	*	X0044	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	24969273	24969307	35	*	X0045	10250	24969594	24999772	30179	+	286	upstream	286	SRRM1
chr1	25664873	25664965	93	*	X0047	23585	25664789	25688852	24064	+	0	inside	83	TMEM50A
chr1	25664873	25664965	93	*	X0047	57035	25568740	25664656	95917	-	216	upstream	216	RSRP1
chr1	26146405	26146524	120	*	X0048	56181	26146397	26159433	13037	+	0	inside	7	MTFR1L
chr1	26735319	26735323	5	*	X0052	79727	26737269	26756219	18951	+	1945	upstream	1945	LIN28A
chr1	27216532	27216575	44	*	X0054	54707	27205873	27216869	10997	-	0	inside	293	GPN2
chr1	27216721	27216735	15	*	X0055	54707	27205873	27216869	10997	-	0	inside	133	GPN2
chr1	28696226	28696359	134	*	X0058	65979	28696093	28826881	130789	+	0	inside	132	PHACTR4
chr1	28908131	28908340	210	*	X0060	677825	28906893	28907024	132	-	1106	upstream	1106	SNORA44
chr1	28908131	28908340	210	*	X0060	677838	28906276	28906405	130	-	1725	upstream	1725	SNORA61
chr1	28908131	28908340	210	*	X0060	692073	28907432	28907565	134	-	565	upstream	565	SNORA16A
chr1	28908131	28908340	210	*	X0060	85028	28905050	28908383	3334	-	0	inside	42	SNHG12
chr1	28969434	28969507	74	*	X0061	6883	28929609	28969604	39996	-	0	inside	96	TAF12
chr1	31191711	31191800	90	*	X0064	100129196	31191619	31199593	7975	+	0	inside	91	MATN1-AS1
chr1	32538354	32538380	27	*	X0066	55116	32538503	32568467	29965	+	122	upstream	122	TMEM39B
chr1	32645250	32645315	66	*	X0067	200081	32645345	32663886	18542	+	29	upstream	29	TXLNA
chr1	37980224	37980322	99	*	X0076	64769	37955561	37980420	24860	-	0	inside	97	MEAF6
chr1	37980550	37980570	21	*	X0077	64769	37955561	37980420	24860	-	129	upstream	129	MEAF6
chr1	40974594	40974603	10	*	X0079	64789	40974433	40982214	7782	+	0	inside	160	EXO5
chr1	45241382	45241573	192	*	X0089	26811	45241537	45241610	74	+	0	overlapStart	0	SNORD55
chr1	45241382	45241573	192	*	X0089	6202	45241246	45244412	3167	+	0	inside	135	RPS8
chr1	45241382	45241573	192	*	X0089	94161	45242164	45242261	98	+	590	upstream	590	SNORD46
chr1	45241382	45241573	192	*	X0089	94162	45243514	45243584	71	+	1940	upstream	1940	SNORD38A
chr1	45805844	45805881	38	*	X0091	4595	45794914	45806142	11229	-	0	inside	260	MUTYH
chr1	46049704	46049960	257	*	X0092	4678	46049660	46084578	34919	+	0	inside	43	NASP
chr1	46153625	46153739	115	*	X0093	51249	46153847	46160108	6262	+	107	upstream	107	TMEM69
chr1	46153625	46153739	115	*	X0093	60313	46092976	46152302	59327	-	1322	upstream	1322	GPBP1L1
chr1	46768786	46768792	7	*	X0094	10489	46744072	46769038	24967	-	0	inside	245	LRRC41
chr1	46768786	46768792	7	*	X0094	7388	46769380	46782447	13068	+	587	upstream	587	UQCRH
chr1	47134246	47134291	46	*	X0096	64756	47100711	47134099	33389	-	146	upstream	146	ATPAF1
chr1	47799328	47799431	104	*	X0097	51727	47799469	47844511	45043	+	37	upstream	37	CMPK1
chr1	48937649	48937684	36	*	X0099	54558	48761044	48937876	176833	-	0	inside	191	SPATA6
chr1	51433792	51433811	20	*	X0100	1031	51433608	51440309	6702	+	0	inside	183	CDKN2C
chr1	51433865	51433884	20	*	X0101	1031	51433608	51440309	6702	+	0	inside	256	CDKN2C
chr1	51985201	51985259	59	*	X0103	2060	51819935	51984995	165061	-	205	upstream	205	EPS15
chr1	54411774	54411787	14	*	X0105	115353	54411999	54433841	21843	+	211	upstream	211	LRRC42
chr1	54411774	54411787	14	*	X0105	51668	54387234	54411288	24055	-	485	upstream	485	HSPB11
chr1	54411820	54411848	29	*	X0106	115353	54411999	54433841	21843	+	150	upstream	150	LRRC42
chr1	54411820	54411848	29	*	X0106	51668	54387234	54411288	24055	-	531	upstream	531	HSPB11
chr1	54412040	54412065	26	*	X0107	115353	54411999	54433841	21843	+	0	inside	40	LRRC42
chr1	54412040	54412065	26	*	X0107	51668	54387234	54411288	24055	-	751	upstream	751	HSPB11
chr1	54412089	54412134	46	*	X0108	115353	54411999	54433841	21843	+	0	inside	89	LRRC42
chr1	54412089	54412134	46	*	X0108	51668	54387234	54411288	24055	-	800	upstream	800	HSPB11
chr1	55681180	55681372	193	*	X0109	100507634	55681081	55683128	2048	+	0	inside	98	LOC100507634
